Date,Price,Log return
2012-05-31,1310.33,-0.0022792684195200048
2012-06-01,1278.04,-0.024951359516333108
2012-06-04,1278.18,0.00010953673794903053
2012-06-05,1285.5,0.005710556615777151
2012-06-06,1315.13,0.022787772335250183
2012-06-07,1314.99,-0.00010645902098176338
2012-06-08,1325.66,0.00808138759045486
2012-06-11,1308.93,-0.012700439066485178
2012-06-12,1324.18,0.011583390373813106
2012-06-13,1314.88,-0.0070479932229503646
2012-06-14,1329.1,0.010756614732241909
2012-06-15,1342.84,0.010284752736562524
2012-06-18,1344.78,0.0014436567200249713
2012-06-19,1357.98,0.009767870585814924
2012-06-20,1355.69,-0.0016877516747354983
2012-06-21,1325.51,-0.022513258771434952
2012-06-22,1335.02,0.007148981972021054
2012-06-25,1313.72,-0.016083465459972662
2012-06-26,1319.99,0.004761353258577372
2012-06-27,1331.85,0.00894479235230087
2012-06-28,1329.04,-0.002112076068222122
2012-06-29,1362.16,0.024614798034165282
2012-07-02,1365.51,0.0024563100993451855
2012-07-03,1374.02,0.006212764505379634
2012-07-05,1367.58,-0.00469799521801216
2012-07-06,1354.68,-0.009477490437645376
2012-07-09,1352.46,-0.0016401076395319903
2012-07-10,1341.47,-0.008159128832764184
2012-07-11,1341.45,-1.490912885989825e-05
2012-07-12,1334.76,-0.0049996180683616704
2012-07-13,1356.78,0.01636274497101934
2012-07-16,1353.64,-0.002316985120192678
2012-07-17,1363.67,0.007382334405661178
2012-07-18,1372.78,0.006658286214577447
2012-07-19,1376.51,0.002713429495304103
2012-07-20,1362.66,-0.01011263852275059
2012-07-23,1350.52,-0.008948968382666001
2012-07-24,1338.31,-0.009082079512297794
2012-07-25,1337.89,-0.00031387788913235705
2012-07-26,1360.02,0.016405659452859416
2012-07-27,1385.97,0.018900849989626385
2012-07-30,1385.3,-0.00048353283011341573
2012-07-31,1379.32,-0.004326098578733877
2012-08-01,1375.14,-0.0030350799857287686
2012-08-02,1365.0,-0.0074011154803105845
2012-08-03,1390.99,0.01886129520593171
2012-08-06,1394.23,0.002326567712056992
2012-08-07,1401.35,0.005093766155781033
2012-08-08,1402.22,0.0006206372788455045
2012-08-09,1402.8,0.000413544294347905
2012-08-10,1405.87,0.0021860889478816747
2012-08-13,1404.11,-0.0012526781188120387
2012-08-14,1403.93,-0.0001282033021227822
2012-08-15,1405.53,0.0011390090430037803
2012-08-16,1415.51,0.007075434332495446
2012-08-17,1418.16,0.0018703665370596102
2012-08-20,1418.13,-2.115439535528785e-05
2012-08-21,1413.17,-0.0035036944682847937
2012-08-22,1413.49,0.0002264156293058998
2012-08-23,1402.08,-0.00810497516365437
2012-08-24,1411.13,0.006433953540105122
2012-08-27,1410.44,-0.0004890894174197595
2012-08-28,1409.3,-0.0008085852327604881
2012-08-29,1410.49,0.0008440345349446528
2012-08-30,1399.48,-0.007836422697165871
2012-08-31,1406.58,0.005060487054237251
2012-09-04,1404.94,-0.0011666288598383128
2012-09-05,1403.44,-0.0010682316087138285
2012-09-06,1432.12,0.020229498271412946
2012-09-07,1437.92,0.004041761017721236
2012-09-10,1429.08,-0.00616674434215865
2012-09-11,1433.56,0.003129980477784836
2012-09-12,1436.56,0.0020905056879527827
2012-09-13,1459.99,0.01617821963021452
2012-09-14,1465.77,0.003951115279070497
2012-09-17,1461.19,-0.003129529435335874
2012-09-18,1459.32,-0.0012805984266831857
2012-09-19,1461.05,0.00118478151903211
2012-09-20,1460.26,-0.0005408532605288135
2012-09-21,1460.15,-7.533188836628922e-05
2012-09-24,1456.89,-0.002235143403731278
2012-09-25,1441.59,-0.010557355654258943
2012-09-26,1433.32,-0.005753239448359475
2012-09-27,1447.15,0.009602673364694815
2012-09-28,1440.67,-0.004487821869708478
2012-10-01,1444.49,0.002648034931983999
2012-10-02,1445.75,0.0008718999666616194
2012-10-03,1450.99,0.003617864023352092
2012-10-04,1461.4,0.007148798295437697
2012-10-05,1460.93,-0.00032166114302795205
2012-10-08,1455.88,-0.003462690436391353
2012-10-09,1441.48,-0.009940165231843174
2012-10-10,1432.56,-0.006207310017350925
2012-10-11,1432.84,0.0001954351929163438
2012-10-12,1428.59,-0.002970544885050311
2012-10-15,1440.13,0.008045443436660634
2012-10-16,1454.92,0.010217529003082159
2012-10-17,1460.91,0.004108612934416874
2012-10-18,1457.34,-0.0024466730272574805
2012-10-19,1433.19,-0.01671012717006166
2012-10-22,1433.82,0.00043948225512983235
2012-10-23,1413.11,-0.014549262064668257
2012-10-24,1408.75,-0.003090162849686388
2012-10-25,1412.97,0.0029910856826463454
2012-10-26,1411.94,-0.0007292268041415646
2012-10-31,1412.16,0.00015580184869156202
2012-11-01,1427.59,0.010867260747050345
2012-11-02,1414.2,-0.009423707658092246
2012-11-05,1417.26,0.0021614299275310735
2012-11-06,1428.39,0.007822505758014995
2012-11-07,1394.53,-0.023990494932418175
2012-11-08,1377.51,-0.01227991939441856
2012-11-09,1379.85,0.0016972760624259981
2012-11-12,1380.03,0.0001304404541177171
2012-11-13,1374.53,-0.00399338355969097
2012-11-14,1355.49,-0.01394884192572606
2012-11-15,1353.33,-0.001594790689528524
2012-11-16,1359.88,0.0048282386725694085
2012-11-19,1386.89,0.01966736976809187
2012-11-20,1387.81,0.0006631347776075759
2012-11-21,1391.03,0.002317514819985913
2012-11-23,1409.15,0.012942205804867957
2012-11-26,1406.29,-0.002031654720931559
2012-11-27,1398.94,-0.005240224023848537
2012-11-28,1409.93,0.007825250780979355
2012-11-29,1415.95,0.004260626145993355
2012-11-30,1416.18,0.00016242192307947768
2012-12-03,1409.46,-0.004756453525113865
2012-12-04,1407.05,-0.0017113382080492271
2012-12-05,1409.28,0.0015836215685260085
2012-12-06,1413.94,0.0033011980873050694
2012-12-07,1418.07,0.002916658435379544
2012-12-10,1418.55,0.0003384309527405416
2012-12-11,1427.84,0.00652758967448202
2012-12-12,1428.48,0.0004481290686690232
2012-12-13,1419.45,-0.00634146925043068
2012-12-14,1413.58,-0.0041439789908631845
2012-12-17,1430.36,0.011800667190939215
2012-12-18,1446.79,0.011421148426265303
2012-12-19,1435.81,-0.007618159372240999
2012-12-20,1443.69,0.005473186088517688
2012-12-21,1430.15,-0.009423002107227981
2012-12-24,1426.66,-0.0024432858581227004
2012-12-26,1419.83,-0.004798901880980162
2012-12-27,1418.1,-0.0012191986513380225
2012-12-28,1402.43,-0.0111115011894783
2012-12-31,1426.19,0.016800106652478265
2013-01-02,1462.42,0.025086044824864026
2013-01-03,1459.37,-0.0020877620279685176
2013-01-04,1466.47,0.004853316610966446
2013-01-07,1461.89,-0.003128033257148679
2013-01-08,1457.15,-0.003247645915194656
2013-01-09,1461.02,0.0026523487451191913
2013-01-10,1472.12,0.007568716794297316
2013-01-11,1472.05,-4.755160198840902e-05
2013-01-14,1470.68,-0.0009311082559243282
2013-01-15,1472.34,0.001128093030996665
2013-01-16,1472.63,0.0001969459797129973
2013-01-17,1480.94,0.005627103422306787
2013-01-18,1485.98,0.0033974659565910057
2013-01-22,1492.56,0.00441827922681335
2013-01-23,1494.81,0.001506341983383369
